iter	Passed	Remaining
424	1872	2533
425	1876	2528
426	1880	2523
427	1884	2518
428	1888	2513
429	1892	2508
430	1896	2503
431	1899	2498
432	1904	2493
433	1908	2488
434	1911	2483
435	1915	2477
436	1919	2473
437	1923	2468
438	1927	2463
439	1931	2458
440	1935	2453
441	1940	2449
442	1944	2445
443	1949	2440
444	1953	2435
445	1956	2430
446	1960	2425
447	1964	2420
448	1968	2415
449	1972	2411
450	1977	2406
451	1981	2402
452	1986	2398
453	1990	2393
454	1994	2388
455	1999	2384
456	2003	2380
457	2007	2376
458	2011	2371
459	2016	2367
460	2021	2363
461	2026	2359
462	2030	2355
463	2035	2351
464	2040	2347
465	2044	2343
466	2049	2339
467	2054	2335
468	2059	2331
469	2063	2327
470	2068	2323
471	2073	2319
472	2078	2315
473	2084	2312
474	2089	2308
475	2094	2305
476	2098	2300
477	2103	2296
478	2107	2292
479	2111	2287
480	2116	2283
481	2120	2279
482	2125	2275
483	2130	2270
484	2134	2266
485	2139	2262
486	2143	2258
487	2148	2253
488	2152	2249
489	2156	2244
490	2161	2240
491	2165	2236
492	2169	2231
493	2174	2227
494	2179	2223
495	2183	2219
496	2188	2214
497	2192	2209
498	2196	2205
499	2200	2200
500	2204	2195
501	2208	2191
502	2212	2186
503	2217	2182
504	2221	2177
505	2225	2173
506	2230	2169
507	2235	2165
508	2239	2160
509	2244	2156
510	2248	2151
511	2252	2146
512	2256	2142
513	2260	2137
514	2264	2132
515	2268	2127
516	2271	2122
517	2275	2117
518	2279	2112
519	2283	2107
520	2287	2102
521	2291	2098
522	2295	2093
523	2299	2088
524	2302	2083
525	2306	2078
526	2310	2073
527	2314	2069
528	2318	2064
529	2322	2059
530	2326	2054
531	2330	2050
532	2334	2045
533	2339	2041
534	2342	2036
535	2347	2032
536	2351	2027
537	2355	2022
538	2359	2017
539	2363	2013
540	2367	2008
541	2371	2003
542	2374	1998
543	2379	1994
544	2383	1990
545	2388	1986
546	2392	1981
547	2396	1976
548	2399	1971
549	2403	1966
550	2408	1962
551	2412	1957
552	2416	1952
553	2420	1948
554	2423	1943
555	2428	1938
556	2431	1934
557	2435	1929
558	2439	1924
559	2443	1920
560	2447	1915
561	2451	1910
562	2455	1905
563	2459	1901
564	2463	1896
565	2467	1891
566	2471	1887
567	2475	1882
568	2478	1877
569	2482	1872
570	2486	1868
571	2490	1863
572	2494	1859
573	2498	1854
574	2502	1849
575	2506	1845
576	2510	1840
577	2514	1835
578	2519	1831
579	2523	1827
580	2528	1823
581	2532	1819
582	2536	1814
583	2540	1809
584	2544	1805
585	2548	1800
586	2552	1795
587	2556	1791
588	2560	1786
589	2564	1781
590	2568	1777
591	2571	1772
592	2575	1767
593	2579	1763
594	2583	1758
595	2588	1754
596	2592	1749
597	2596	1745
598	2600	1740
599	2604	1736
600	2607	1731
601	2611	1726
602	2615	1722
603	2619	1717
604	2623	1712
605	2627	1708
606	2631	1703
607	2635	1699
608	2639	1694
609	2643	1689
610	2646	1685
611	2650	1680
612	2654	1675
613	2658	1671
614	2663	1667
615	2667	1662
616	2671	1658
617	2676	1654
618	2681	1650
619	2685	1646
620	2689	1641
621	2693	1636
622	2697	1632
623	2701	1627
624	2705	1623
625	2709	1618
626	2713	1613
627	2717	1609
628	2721	1604
629	2724	1600
630	2728	1595
631	2732	1591
632	2736	1586
633	2740	1581
634	2744	1577
635	2748	1572
636	2752	1568
637	2756	1563
638	2760	1559
639	2764	1555
640	2768	1550
641	2772	1546
642	2776	1541
643	2780	1537
644	2784	1532
645	2788	1527
646	2792	1523
647	2796	1518
648	2800	1514
649	2804	1510
650	2808	1505
651	2812	1501
652	2816	1496
653	2821	1492
654	2825	1488
655	2829	1483
656	2833	1479
657	2838	1475
658	2842	1470
659	2846	1466
660	2850	1461
661	2854	1457
662	2858	1452
663	2862	1448
664	2865	1443
665	2869	1439
666	2874	1435
667	2879	1430
668	2883	1426
669	2888	1422
670	2892	1418
671	2895	1413
672	2899	1408
673	2903	1404
674	2907	1400
675	2911	1395
676	2915	1390
677	2919	1386
678	2923	1382
679	2927	1377
680	2931	1373
681	2935	1368
682	2939	1364
683	2943	1359
684	2947	1355
685	2951	1350
686	2955	1346
687	2959	1341
688	2963	1337
689	2966	1332
690	2970	1328
691	2974	1324
692	2978	1319
693	2982	1315
694	2986	1310
695	2990	1306
696	2994	1301
697	2998	1297
698	3002	1292
699	3006	1288
700	3010	1283
701	3014	1279
702	3018	1275
703	3022	1270
704	3027	1266
705	3032	1262
706	3037	1258
707	3041	1254
708	3045	1249
709	3049	1245
710	3054	1241
711	3058	1237
712	3062	1232
713	3066	1228
714	3071	1224
715	3075	1219
716	3080	1215
717	3084	1211
718	3088	1207
719	3092	1202
720	3097	1198
721	3101	1194
722	3105	1189
723	3109	1185
724	3113	1181
725	3118	1176
726	3121	1172
727	3126	1168
728	3130	1163
729	3134	1159
730	3138	1154
731	3141	1150
732	3145	1145
733	3149	1141
734	3153	1137
735	3157	1132
736	3161	1128
737	3165	1123
738	3169	1119
739	3173	1114
740	3176	1110
741	3181	1106
742	3186	1102
743	3190	1097
744	3194	1093
745	3198	1088
746	3202	1084
747	3206	1080
748	3210	1075
749	3214	1071
750	3217	1066
751	3221	1062
752	3225	1058
753	3229	1053
754	3233	1049
755	3237	1044
756	3241	1040
757	3245	1036
758	3249	1031
759	3253	1027
760	3257	1023
761	3261	1018
762	3265	1014
763	3269	1009
764	3273	1005
765	3277	1001
766	3280	996
767	3284	992
768	3288	987
769	3292	983
770	3296	979
771	3300	974
772	3304	970
773	3308	966
774	3312	961
775	3316	957
776	3320	953
777	3325	948
778	3329	944
779	3334	940
780	3338	936
781	3342	931
782	3346	927
783	3350	923
784	3354	918
785	3357	914
786	3361	909
787	3366	905
788	3370	901
789	3374	897
790	3379	892
791	3383	888
792	3387	884
793	3391	879
794	3395	875
795	3399	871
796	3403	866
797	3406	862
798	3411	858
799	3415	853
800	3418	849
801	3422	845
802	3426	840
803	3430	836
804	3434	831
805	3438	827
806	3442	823
807	3446	818
808	3450	814
809	3454	810
810	3459	806
811	3464	802
812	3468	797
813	3472	793
814	3476	789
815	3480	784
816	3484	780
817	3488	776
818	3492	771
819	3496	767
820	3499	763
821	3503	758
822	3507	754
823	3511	750
824	3515	745
825	3519	741
826	3523	737
827	3527	732
828	3531	728
829	3535	724
830	3538	719
831	3542	715
832	3546	711
833	3550	706
834	3554	702
835	3558	698
836	3562	693
837	3566	689
838	3570	685
839	3574	680
840	3579	676
841	3583	672
842	3587	668
843	3591	663
844	3596	659
845	3600	655
846	3605	651
847	3609	647
848	3613	642
849	3617	638
850	3621	634
851	3625	629
852	3629	625
853	3632	621
854	3636	616
855	3640	612
856	3644	608
857	3648	603
858	3652	599
859	3656	595
860	3660	590
861	3664	586
862	3668	582
863	3672	578
864	3676	573
865	3679	569
866	3684	565
867	3687	560
868	3691	556
869	3695	552
870	3699	547
871	3703	543
872	3707	539
873	3711	535
874	3715	530
875	3719	526
876	3722	522
877	3726	517
878	3730	513
879	3735	509
880	3739	505
881	3744	500
882	3748	496
883	3752	492
884	3756	488
885	3760	483
886	3764	479
887	3767	475
888	3771	470
889	3775	466
890	3779	462
891	3783	458
892	3787	453
893	3791	449
894	3795	445
895	3799	441
896	3803	436
897	3807	432
898	3811	428
899	3815	423
900	3819	419
901	3822	415
902	3827	411
903	3831	406
904	3834	402
905	3838	398
906	3842	394
907	3846	389
908	3850	385
909	3854	381
910	3858	376
911	3862	372
912	3866	368
913	3870	364
914	3874	359
915	3878	355
916	3883	351
917	3887	347
918	3891	342
919	3895	338
920	3899	334
921	3903	330
922	3907	325
923	3911	321
924	3915	317
925	3919	313
926	3922	308
927	3926	304
928	3930	300
929	3934	296
930	3938	291
931	3942	287
932	3946	283
933	3950	279
934	3954	274
935	3958	270
936	3962	266
937	3966	262
938	3970	257
939	3974	253
940	3977	249
941	3982	245
942	3986	240
943	3989	236
944	3993	232
945	3997	228
946	4001	223
947	4005	219
948	4009	215
949	4014	211
950	4018	207
951	4023	202
952	4027	198
953	4031	194
954	4035	190
955	4038	185
956	4042	181
957	4046	177
958	4050	173
959	4054	168
960	4058	164
961	4062	160
962	4066	156
963	4070	151
964	4074	147
965	4078	143
966	4082	139
967	4086	135
968	4089	130
969	4093	126
970	4097	122
971	4101	118
972	4105	113
973	4109	109
974	4113	105
975	4117	101
976	4121	97
977	4124	92
978	4128	88
979	4132	84
980	4136	80
981	4141	75
982	4145	71
983	4149	67
984	4154	63
985	4159	59
986	4164	54
987	4169	50
988	4174	46
989	4179	42
990	4183	37
991	4188	33
992	4192	29
993	4197	25
994	4202	21
995	4206	16
996	4211	12
997	4215	8
998	4220	4
999	4225	0
